Timestamp,Layer,ElapsedTime(s),Temperature(C)
2025-06-25 16:31:05.532484,0,1.165,109.46
2025-06-25 16:31:06.691840,0,2.330,109.14
2025-06-25 16:31:07.868021,0,3.496,109.50
2025-06-25 16:31:09.030286,0,4.661,110.25
2025-06-25 16:31:10.198829,0,5.826,110.37
2025-06-25 16:31:11.353288,0,6.991,111.03
2025-06-25 16:31:12.527343,0,8.156,111.90
2025-06-25 16:31:13.685575,0,9.321,112.16
2025-06-25 16:31:14.844899,0,10.486,112.44
2025-06-25 16:31:16.025129,0,11.651,112.88
2025-06-25 16:31:17.182500,0,12.817,113.36
2025-06-25 16:31:18.345921,0,13.982,113.31
2025-06-25 16:31:19.506341,0,15.147,113.80
2025-06-25 16:31:20.678277,0,16.312,113.91
2025-06-25 16:31:21.850954,0,17.477,114.23
2025-06-25 16:31:23.015860,0,18.642,114.59
2025-06-25 16:31:24.175207,0,19.807,115.11
2025-06-25 16:31:25.335612,0,20.972,115.59
2025-06-25 16:31:26.499057,0,22.138,116.12
2025-06-25 16:31:27.676161,0,23.303,117.01
2025-06-25 16:31:28.833557,0,24.468,117.47
2025-06-25 16:31:29.993051,0,25.633,118.29
2025-06-25 16:31:31.168924,0,26.798,118.78
2025-06-25 16:31:32.331358,0,27.963,119.71
2025-06-25 16:31:33.489338,0,29.128,119.85
2025-06-25 16:31:34.666894,0,30.293,120.45
2025-06-25 16:31:35.826408,0,31.459,120.72
2025-06-25 16:31:36.986673,0,32.623,121.06
2025-06-25 16:31:38.161616,0,33.789,121.08
2025-06-25 16:31:39.324535,0,34.954,121.33
2025-06-25 16:31:40.486655,0,36.119,121.48
2025-06-25 16:31:41.643949,0,37.284,121.51
2025-06-25 16:31:42.819983,0,38.449,121.77
2025-06-25 16:31:43.979334,0,39.615,121.97
2025-06-25 16:31:45.139732,0,40.780,122.50
2025-06-25 16:31:46.316914,0,41.945,123.15
2025-06-25 16:31:47.479374,0,43.110,123.96
2025-06-25 16:31:48.637730,0,44.275,124.57
2025-06-25 16:31:49.812679,0,45.440,125.31
2025-06-25 16:31:50.973721,0,46.606,125.92
2025-06-25 16:31:52.134633,0,47.771,126.02
2025-06-25 16:31:53.309733,0,48.936,126.52
2025-06-25 16:31:54.469996,0,50.101,126.82
2025-06-25 16:31:55.630443,0,51.267,127.20
2025-06-25 16:31:56.805695,0,52.432,127.24
2025-06-25 16:31:57.968065,0,53.597,127.84
2025-06-25 16:31:59.131370,0,54.762,127.88
2025-06-25 16:32:00.287775,0,55.927,128.15
2025-06-25 16:32:01.465798,0,57.092,128.40
2025-06-25 16:32:02.623141,0,58.258,128.70
2025-06-25 16:32:03.785721,0,59.423,128.82
2025-06-25 16:32:04.960660,0,60.588,129.31
2025-06-25 16:32:06.121128,0,61.753,129.85
